,address,lon,lat,full_address_google,eircode,useful_address
703,"Solastech Insulation Ltd, County Cork, Ireland",-8.283636999999999,52.144938,"Energy House, Unit 5 Faber-Castell Business Campus, Carrignagroghera, Fermoy, Co. Cork, Ireland",,True
704,"Gasline Heating & Plumbing, County Dublin 11, Ireland",-6.3275681,53.3033166,"56 Willington Cres, Templeogue, Dublin, D6W FX20, Ireland",D6W FX20,True
705,"ONG Heating and Plumbing Ltd, County Wicklow, Ireland",-6.125073,53.2033576,"43 Ashlawn Ct, Old Connaught, Bray, Co. Wicklow, A98 WC84, Ireland",A98 WC84,True
706,"James Kilduff Ta Boiler Bond, County Dublin 16, Ireland",-6.303558799999999,53.28023049999999,"33 The Avenue, Boden Park, Rathfarnham, Dublin, D16 W6X4, Ireland",D16 W6X4,True
707,"Paul Collins Construction Ltd, County Co Dublin, Ireland",-6.1731462,53.4337197,"6 Myra Manor, Kinsealy, Malahide, Co. Dublin, Ireland",,True
708,"Stephen Treacy Heating & Plumbing, County Galway, Ireland",-8.854389399999999,53.5147863,"High St, Corralea West, Tuam, Co. Galway, H54 FP49, Ireland",H54 FP49,True
709,"N.C.B.S Ltd, County Co Dublin, Ireland",-6.2421546,53.4466921,"63 Forest Fields, Fosterstown North, Swords, Co. Dublin, Ireland",,True
710,"John Gilleran Plumbing Heating & Renewables, County Roscommon, Ireland",-8.131259199999999,53.6472281,"Cartron (Brett), Roscommon, Ireland",,False
711,"Hometherm Insulation Ltd, County Meath, Ireland",-6.6564169,53.60554800000001,"Meath, Co. Meath, Ireland",,False
712,"Heco Construction Ltd, County Meath, Ireland",-6.8766599,53.7270699,"Castle Kieran, Townparks, Carnaross, Co. Meath, Ireland",,True
713,"Future Generation Energy Ltd, County Cork, Ireland",-8.9665413,51.6055363,"Tullineaskey, Clonakilty, Co. Cork, P85 PR92, Ireland",P85 PR92,True
714,"Fodex Construction Ltd, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
715,"Corkery Alu-Cast Enterprises Ltd, County Cork, Ireland",-7.847668700000001,51.9534184,"100 N Main St, Youghal-Lands, Youghal, Co. Cork, Ireland",,True
716,"Rooster Construction Ltd, County Kildare, Ireland",-6.819470799999999,53.2120434,"Kildare, Co. Kildare, Ireland",,False
717,"Bernard Bourke Ltd, County Tipperary, Ireland",-8.1618514,52.47378940000001,"Co. Tipperary, Ireland",,False
